,NVDA,,AMZN,,AMD,,CRM
Date,Close,Date,Close,Date,Close,Date,Close
8/10/2015 16:00:00,23.78,8/10/2015 16:00:00,524,8/10/2015 16:00:00,1.93,8/10/2015 16:00:00,71.27
8/11/2015 16:00:00,23.66,8/11/2015 16:00:00,527.46,8/11/2015 16:00:00,1.9,8/11/2015 16:00:00,71.63
8/12/2015 16:00:00,23.72,8/12/2015 16:00:00,525.91,8/12/2015 16:00:00,1.9,8/12/2015 16:00:00,71.04
8/13/2015 16:00:00,23.52,8/13/2015 16:00:00,529.66,8/13/2015 16:00:00,1.79,8/13/2015 16:00:00,71.4
8/14/2015 16:00:00,23.54,8/14/2015 16:00:00,531.52,8/14/2015 16:00:00,1.84,8/14/2015 16:00:00,72.99
8/17/2015 16:00:00,23.39,8/17/2015 16:00:00,535.22,8/17/2015 16:00:00,1.8,8/17/2015 16:00:00,74.04
8/18/2015 16:00:00,23.08,8/18/2015 16:00:00,535.02,8/18/2015 16:00:00,1.8,8/18/2015 16:00:00,72.58
8/19/2015 16:00:00,22.99,8/19/2015 16:00:00,532.92,8/19/2015 16:00:00,1.8,8/19/2015 16:00:00,72.04
8/20/2015 16:00:00,22.16,8/20/2015 16:00:00,515.78,8/20/2015 16:00:00,1.7,8/20/2015 16:00:00,67.82
8/21/2015 16:00:00,21.47,8/21/2015 16:00:00,494.47,8/21/2015 16:00:00,1.78,8/21/2015 16:00:00,69.15
8/24/2015 16:00:00,20.71,8/24/2015 16:00:00,463.37,8/24/2015 16:00:00,1.75,8/24/2015 16:00:00,65.17
8/25/2015 16:00:00,20.28,8/25/2015 16:00:00,466.37,8/25/2015 16:00:00,1.66,8/25/2015 16:00:00,65.18
8/26/2015 16:00:00,21.81,8/26/2015 16:00:00,500.77,8/26/2015 16:00:00,1.72,8/26/2015 16:00:00,68.52
8/27/2015 16:00:00,22.63,8/27/2015 16:00:00,518.37,8/27/2015 16:00:00,1.78,8/27/2015 16:00:00,69.94
8/28/2015 16:00:00,22.73,8/28/2015 16:00:00,518.01,8/28/2015 16:00:00,1.85,8/28/2015 16:00:00,70.25
8/31/2015 16:00:00,22.48,8/31/2015 16:00:00,512.89,8/31/2015 16:00:00,1.81,8/31/2015 16:00:00,69.36
9/1/2015 16:00:00,21.56,9/1/2015 16:00:00,496.54,9/1/2015 16:00:00,1.71,9/1/2015 16:00:00,66.63
9/2/2015 16:00:00,22.21,9/2/2015 16:00:00,510.55,9/2/2015 16:00:00,1.77,9/2/2015 16:00:00,67.98
9/3/2015 16:00:00,22.27,9/3/2015 16:00:00,504.72,9/3/2015 16:00:00,1.79,9/3/2015 16:00:00,68.25
9/4/2015 16:00:00,21.75,9/4/2015 16:00:00,499,9/4/2015 16:00:00,1.82,9/4/2015 16:00:00,67.13
9/8/2015 16:00:00,22.68,9/8/2015 16:00:00,517.54,9/8/2015 16:00:00,1.88,9/8/2015 16:00:00,70.76
9/9/2015 16:00:00,22.23,9/9/2015 16:00:00,516.89,9/9/2015 16:00:00,1.85,9/9/2015 16:00:00,69.03
9/10/2015 16:00:00,22.58,9/10/2015 16:00:00,522.24,9/10/2015 16:00:00,1.84,9/10/2015 16:00:00,69.74
9/11/2015 16:00:00,22.65,9/11/2015 16:00:00,529.44,9/11/2015 16:00:00,2.01,9/11/2015 16:00:00,70.05
9/14/2015 16:00:00,22.69,9/14/2015 16:00:00,521.38,9/14/2015 16:00:00,1.82,9/14/2015 16:00:00,69.89
9/15/2015 16:00:00,22.94,9/15/2015 16:00:00,522.37,9/15/2015 16:00:00,1.86,9/15/2015 16:00:00,71.27
9/16/2015 16:00:00,23.1,9/16/2015 16:00:00,527.39,9/16/2015 16:00:00,1.89,9/16/2015 16:00:00,71.88
9/17/2015 16:00:00,23.31,9/17/2015 16:00:00,538.87,9/17/2015 16:00:00,1.89,9/17/2015 16:00:00,72.32
9/18/2015 16:00:00,23.29,9/18/2015 16:00:00,540.26,9/18/2015 16:00:00,1.87,9/18/2015 16:00:00,71.4
9/21/2015 16:00:00,23.53,9/21/2015 16:00:00,548.39,9/21/2015 16:00:00,1.81,9/21/2015 16:00:00,72.14
9/22/2015 16:00:00,22.89,9/22/2015 16:00:00,538.4,9/22/2015 16:00:00,1.73,9/22/2015 16:00:00,71.65
9/23/2015 16:00:00,23,9/23/2015 16:00:00,536.07,9/23/2015 16:00:00,1.7,9/23/2015 16:00:00,71.99
9/24/2015 16:00:00,23.44,9/24/2015 16:00:00,533.75,9/24/2015 16:00:00,1.72,9/24/2015 16:00:00,71.71
9/25/2015 16:00:00,23.61,9/25/2015 16:00:00,524.25,9/25/2015 16:00:00,1.71,9/25/2015 16:00:00,72.44
9/28/2015 16:00:00,23.3,9/28/2015 16:00:00,504.06,9/28/2015 16:00:00,1.66,9/28/2015 16:00:00,69.04
9/29/2015 16:00:00,23.71,9/29/2015 16:00:00,496.07,9/29/2015 16:00:00,1.67,9/29/2015 16:00:00,68.38
9/30/2015 16:00:00,24.65,9/30/2015 16:00:00,511.89,9/30/2015 16:00:00,1.72,9/30/2015 16:00:00,69.43
10/1/2015 16:00:00,24.17,10/1/2015 16:00:00,520.72,10/1/2015 16:00:00,1.74,10/1/2015 16:00:00,72.91
10/2/2015 16:00:00,24.8,10/2/2015 16:00:00,532.54,10/2/2015 16:00:00,1.83,10/2/2015 16:00:00,73.93
10/5/2015 16:00:00,25.42,10/5/2015 16:00:00,543.68,10/5/2015 16:00:00,1.8,10/5/2015 16:00:00,75.27
10/6/2015 16:00:00,25.75,10/6/2015 16:00:00,537.48,10/6/2015 16:00:00,1.83,10/6/2015 16:00:00,74.42
10/7/2015 16:00:00,26.02,10/7/2015 16:00:00,541.94,10/7/2015 16:00:00,1.86,10/7/2015 16:00:00,75
10/8/2015 16:00:00,26.17,10/8/2015 16:00:00,533.16,10/8/2015 16:00:00,1.93,10/8/2015 16:00:00,75.09
10/9/2015 16:00:00,26.07,10/9/2015 16:00:00,539.8,10/9/2015 16:00:00,1.96,10/9/2015 16:00:00,75.25
10/12/2015 16:00:00,26.35,10/12/2015 16:00:00,550.19,10/12/2015 16:00:00,1.87,10/12/2015 16:00:00,75.88
10/13/2015 16:00:00,26.4,10/13/2015 16:00:00,548.9,10/13/2015 16:00:00,1.92,10/13/2015 16:00:00,76.63
10/14/2015 16:00:00,27.36,10/14/2015 16:00:00,544.83,10/14/2015 16:00:00,1.95,10/14/2015 16:00:00,75.58
